Frame Number,Car1_X,Car1_Y,Car1_W,Car1_H,Car2_X,Car2_Y,Car2_W,Car2_H
1080,565,371,294,202,644,240,208,153
1081,565,371,294,202,644,240,208,153
1082,567,373,294,202,646,241,208,153
1083,571,375,294,202,646,242,208,153
1084,573,377,294,202,648,241,208,153
1085,575,379,294,202,650,242,208,153
1086,579,381,294,202,652,243,208,153
1087,583,383,294,202,652,244,208,153
1088,585,385,294,202,654,243,208,153
1089,589,387,294,202,656,244,208,153
1090,591,389,294,202,658,243,208,153
1091,595,393,294,202,658,244,208,153
1092,599,395,294,202,660,245,208,153
1093,601,397,294,202,662,246,208,153
1094,605,401,294,202,664,245,208,153
1095,609,403,294,202,666,246,208,153
1096,611,407,294,202,666,245,208,153
1097,615,409,294,202,668,246,208,153
1098,619,413,294,202,670,247,208,153
1099,623,415,294,202,672,248,208,153
1100,627,419,294,202,674,247,208,153
1101,631,421,294,202,676,248,208,153
1102,635,425,294,202,678,249,208,153
1103,639,429,294,202,678,250,208,153
1104,643,431,294,202,680,249,208,153
1105,647,435,294,202,682,250,208,153
1106,651,439,294,202,684,251,208,153
1107,655,441,294,202,686,252,208,153
1108,659,445,294,202,688,251,208,153
1109,663,449,294,202,690,252,208,153
1110,667,451,294,202,692,253,208,153
1111,671,455,294,202,692,254,208,153
1112,675,459,294,202,694,253,208,153
1113,679,463,294,202,696,254,208,153
1114,683,467,294,202,698,255,208,153
1115,687,471,294,202,700,256,208,153
1116,691,473,294,202,702,255,208,153
1117,695,477,294,202,704,256,208,153
1118,699,481,294,202,706,257,208,153
1119,703,485,294,202,708,258,208,153
1120,707,489,294,202,710,259,208,153
1121,711,493,294,202,712,260,208,153
1122,717,495,294,202,714,259,208,153
1123,721,499,294,202,716,260,208,153
1124,725,503,294,202,718,261,208,153
1125,729,507,294,202,720,262,208,153
1126,735,511,294,202,722,263,208,153
1127,739,513,294,202,724,264,208,153
1128,743,517,294,202,726,263,208,153
1129,747,521,294,202,728,264,208,153
1130,753,525,294,202,730,265,208,153
1131,757,529,294,202,732,266,208,153
1132,761,533,294,202,734,267,208,153
1133,767,537,294,202,736,268,208,153
1134,771,541,294,202,738,267,208,153
1135,775,545,294,202,740,270,208,153
1136,781,549,294,202,742,269,208,153
1137,785,553,294,202,744,272,208,153
1138,791,557,294,202,746,271,208,153
1139,795,561,294,202,748,272,208,153
1140,801,567,294,202,750,271,208,153
1141,805,571,294,202,752,274,208,153
1142,811,577,294,202,754,273,208,153
1143,815,581,294,202,758,274,208,153
1144,821,587,294,202,760,275,208,153
1145,825,591,294,202,762,276,208,153
1146,831,597,294,202,764,275,208,153
1147,837,603,294,202,766,278,208,153
1148,841,607,294,202,768,277,208,153
1149,847,613,294,202,770,278,208,153
1150,851,617,294,202,772,279,208,153
1151,857,623,294,202,774,280,208,153
1152,861,629,294,202,778,281,208,153
1153,867,635,294,202,780,282,208,153
1154,873,639,294,202,782,281,208,153
1155,877,645,294,202,784,282,208,153
1156,883,651,294,202,786,283,208,153
1157,889,657,294,202,788,286,208,153
1158,893,661,294,202,790,285,208,153
1159,899,667,294,202,794,286,208,153
1160,905,671,294,202,796,287,208,153
1161,911,677,294,202,798,288,208,153
1162,917,683,294,202,800,289,208,153
1163,921,689,294,202,802,292,208,153
1164,927,695,294,202,806,291,208,153
1165,933,699,294,202,808,292,208,153
1166,939,705,294,202,810,293,208,153
1167,945,711,294,202,812,296,208,153
1168,951,717,294,202,816,295,208,153
1169,957,723,294,202,818,298,208,153
1170,963,729,294,202,820,297,208,153
1171,967,735,294,202,822,298,208,153
1172,973,743,294,202,826,299,208,153
1173,979,749,294,202,828,302,208,153
1174,985,755,294,202,830,301,208,153
1175,991,761,294,202,834,302,208,153
1176,997,767,294,202,836,303,208,153
1177,1003,775,294,202,838,304,208,153
1178,1009,781,294,202,840,305,208,153
1179,1015,787,294,202,844,306,208,153
1180,1021,793,294,202,846,307,208,153
1181,1027,801,294,202,848,308,208,153
1182,1033,807,294,202,852,309,208,153
1183,1039,815,294,202,854,310,208,153
